iter	RMSE
0	1.67899736
1	1.385214247
2	1.237860354
3	1.166039226
4	1.128922725
5	1.09700951
6	1.078712031
7	1.058785284
8	1.046823299
9	1.035107448
10	1.028355554
11	1.014474049
12	1.005547773
13	0.9967976799
14	0.9883271894
15	0.982011879
16	0.9753489299
17	0.9713576985
18	0.9646733171
19	0.9560015481
20	0.9511546123
21	0.9468843258
22	0.9407001084
23	0.9363483336
24	0.9325658591
25	0.9296935471
26	0.9255712492
27	0.9223008777
28	0.917339962
29	0.9136998401
30	0.9105526225
31	0.9073754037
32	0.9048199962
33	0.902431894
34	0.9000009778
35	0.8966055549
36	0.8941231933
37	0.8918511591
38	0.8880778356
39	0.8848242611
40	0.88325161
41	0.8801762192
42	0.8778846074
43	0.8750922434
44	0.8720433274
45	0.8678558887
46	0.8666010783
47	0.8650668928
48	0.863881448
49	0.8614004312
50	0.8584558101
51	0.8572821764
52	0.8545752849
53	0.8528786978
54	0.8501353745
55	0.8488963157
56	0.8475404426
57	0.8444771311
58	0.8435752303
59	0.8410812155
60	0.8391730045
61	0.8378167933
62	0.8359945644
63	0.834925471
64	0.8337686676
65	0.8305292056
66	0.8286588093
67	0.8268068548
68	0.8242621534
69	0.8229067899
70	0.8211303413
71	0.8190067262
72	0.8181298579
73	0.8168146631
74	0.8159424805
75	0.8149051578
76	0.81357808
77	0.8120706187
78	0.8105939068
79	0.8096515482
80	0.8088132586
81	0.8080644516
82	0.8069497142
83	0.804350529
84	0.8028420557
85	0.8006832655
86	0.7998697869
87	0.7992399421
88	0.7979252338
89	0.7955671927
90	0.7949712781
91	0.7933897393
92	0.7928629781
93	0.7904418871
94	0.7895213264
95	0.788946487
96	0.7883160012
97	0.7877898885
98	0.7859894737
99	0.7852512563
