iter	Passed	Remaining
0	19	1979
1	35	1754
2	51	1655
3	67	1613
4	83	1578
5	98	1538
6	115	1529
7	130	1500
8	148	1497
9	165	1491
10	183	1482
11	198	1454
12	214	1433
13	233	1434
14	247	1402
15	262	1379
16	285	1396
17	306	1395
18	328	1399
19	344	1376
20	358	1348
21	375	1331
22	395	1323
23	414	1313
24	433	1300
25	447	1273
26	466	1261
27	486	1251
28	502	1230
29	520	1214
30	535	1192
31	552	1174
32	569	1155
33	586	1138
34	604	1122
35	624	1109
36	642	1094
37	664	1084
38	684	1070
39	701	1052
40	723	1041
41	740	1023
42	758	1004
43	774	985
44	792	968
45	808	949
46	830	936
47	848	919
48	864	899
49	880	880
50	898	862
51	916	845
52	932	826
53	948	807
54	964	788
55	980	770
56	1000	754
57	1015	735
58	1032	717
59	1048	698
60	1062	679
61	1080	662
62	1097	644
63	1114	626
64	1128	607
65	1143	589
66	1159	571
67	1175	553
68	1191	535
69	1210	518
70	1225	500
71	1240	482
72	1259	465
73	1274	447
74	1290	430
75	1306	412
76	1322	395
77	1336	376
78	1351	359
79	1370	342
80	1388	325
81	1408	309
82	1425	292
83	1442	274
84	1457	257
85	1471	239
86	1488	222
87	1503	204
88	1517	187
89	1531	170
90	1544	152
91	1558	135
92	1572	118
93	1587	101
94	1605	84
95	1623	67
96	1640	50
97	1661	33
98	1679	16
99	1698	0
